"id","R","S","T","U","V","W","G","H","I","J","K","L","A","B","C","D","E","F","don","label"
11,16,39.4,88.2,15.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,1943,"21200"
12,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.1,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
12,14.6,37.3,83.6,15.9,6.2,15.7,4.5,4.7,13.1,17.3,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,483,"21196"
12,14.6,39.4,89.3,15.9,7.3,15.7,4.5,4.7,15.1,17.7,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7,0,"sadio"
12,14.6,39.4,91.6,16.9,7.3,16.9,5,4.7,14.7,18.1,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
12,14.6,39.4,92.8,16.9,7.3,15.7,4.5,4.2,12.7,18.1,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,799,"21210"
12,14.6,40.5,92.8,16.9,7.3,16.9,5,5.1,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,2113,"21197"
12,14.6,40.5,95.1,16.9,7.3,16.9,4.5,4.7,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
12,14.6,41.6,90.5,16.9,7.3,15.7,5,5.1,15.1,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,1788,"21195"
12,14.6,41.6,92.8,16.9,7.3,15.7,5.5,5.1,14.3,18.9,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
12,16,39.4,95.1,16.9,7.3,15.7,4.5,4.2,13.5,16.5,8.8,4.6,1.9,2.9,8.1,4.7,6.4,7.7,1508,"21198"
12,16,40.5,95.1,16.9,7.3,16.9,4.5,4.7,13.9,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"21201"
13,13.1,36.2,77.9,14.9,6.2,15.7,5,4.7,12.3,17.3,8.2,4.6,1.9,2.9,7.2,4.7,5.6,6.3,307,"21227"
13,14.6,38.4,89.3,15.9,7.3,15.7,5,4.7,13.9,16.9,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
13,14.6,39.4,90.5,16.9,7.3,16.9,4.5,4.7,13.9,18.1,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21201"
13,14.6,39.4,91.6,16.9,7.3,15.7,5,4.7,14.7,17.3,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,0,"sadio"
13,14.6,39.4,91.6,16.9,7.3,16.9,5,4.7,14.7,17.7,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
13,14.6,39.4,92.8,16.9,7.3,15.7,4.5,4.2,12.7,18.1,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,799,"21210"
13,14.6,41.6,90.5,16.9,7.3,15.7,5,5.1,15.1,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,1788,"21195"
13,14.6,41.6,91.6,16.9,7.3,16.9,5,5.1,15.5,18.1,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,2113,"21197"
13,14.6,41.6,92.8,16.9,7.3,15.7,5.5,5.1,14.3,18.9,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
13,14.6,41.6,97.3,17.9,7.3,16.9,5,4.7,14.3,19.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,0,"21202"
13,16,39.4,93.9,16.9,7.3,15.7,5,4.7,12.7,17.3,8.8,4.6,1.9,3.9,9,4.7,7.2,7.7,1508,"21198"
14,13.1,38.4,82.5,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
14,14.6,38.4,89.3,15.9,7.3,15.7,5,4.7,14.3,16.9,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
14,14.6,39.4,89.3,16.9,7.3,16.9,4.5,4.7,13.9,18.1,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21201"
