Sample,; A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); G (560nm); H (585nm); R (610nm); I (645nm); S (680nm); J (705nm); T (730nm); U (760nm); V (810nm); W (860nm); K (900nm); L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Cal. G (560nm); Cal. H (585nm); Cal. R (610nm); Cal. I (645nm); Cal. S (680nm); Cal. J (705nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. K (900nm); Cal. L (940nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
43; 1; 2; 4; 3; 5; 6; 7; 7; 5; 24; 22; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.5; 3.3; 7.3; 9.5; 23.4; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 29; 20210428195533
44; 1; 2; 4; 3; 5; 6; 6; 7; 5; 24; 22; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.5; 23.4; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 28; 20210428195533
45; 1; 2; 4; 3; 5; 6; 6; 7; 5; 24; 23; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.5; 24.5; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 28; 20210428195534
46; 1; 2; 4; 3; 5; 6; 6; 7; 5; 24; 23; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.5; 24.5; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 28; 20210428195534
47; 1; 2; 4; 3; 5; 6; 6; 7; 5; 24; 23; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.5; 24.5; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 28; 29; 28; 20210428195535
48; 1; 2; 4; 3; 5; 6; 6; 7; 5; 24; 23; 29; 53; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.5; 24.5; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 28; 20210428195535
49; 1; 2; 4; 3; 5; 6; 6; 7; 5; 23; 23; 29; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.5; 24.5; 11.7; 60.7; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 28; 29; 28; 20210428195535
50; 1; 2; 4; 3; 5; 6; 6; 7; 5; 23; 23; 29; 52; 11; 4; 8; 9; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 4.2; 3.0; 3.3; 7.3; 9.1; 24.5; 11.7; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 29; 28; 20210428195536
51; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 23; 29; 51; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 4.0; 3.5; 3.0; 3.3; 7.3; 9.1; 24.5; 11.7; 59.6; 11.0; 4.2; 9.7; 5.3; 2.7; 59; 1; 27; 28; 28; 20210428195536
52; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 29; 50; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 24.5; 11.7; 58.4; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195537
53; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 29; 49; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.7; 57.3; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195537
54; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 28; 48; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.3; 55.0; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195537
55; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 28; 48; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.3; 55.0; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195538
56; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 28; 50; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.3; 56.1; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 29; 20210428195538
57; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 29; 50; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.7; 57.3; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195539
58; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 29; 50; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.7; 57.3; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195539
59; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 23; 29; 51; 11; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.7; 58.4; 11.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 28; 29; 28; 20210428195539
