"id","Cal. R (610nm)","Cal. S (680nm)","Cal. T (730nm)","Cal. U (760nm)","Cal. V (810nm)","Cal. W (860nm)","Cal. G (560nm)","Cal. H (585nm)","Cal. I (645nm)","Cal. J (705nm)","Cal. K (900nm)","Cal. L (940nm)","Cal. A (410nm)","Cal. B (435nm)","Cal. C (460nm)","Cal. D (485nm)","Cal. E (510nm)","Cal. F (535nm)","label"
12,8.7,23.4,63,11,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
12,8.7,24.5,59.6,11,4.2,10.9,3,3.3,9.1,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
12,13.1,36.2,89.3,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
13,7.3,21.3,53.8,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
13,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
13,7.3,22.4,58.4,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
13,7.3,23.4,52.7,9,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
13,7.3,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
13,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"sadio"
13,7.3,23.4,60.7,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
13,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
13,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
13,8.7,23.4,63,11,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
13,8.7,24.5,58.4,10,4.2,10.9,3.5,3.3,9.1,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
13,13.1,36.2,88.2,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
14,7.3,21.3,52.7,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
14,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
14,7.3,22.4,56.1,10,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
14,7.3,23.4,52.7,10,4.2,9.7,3,2.8,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
14,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
14,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"sadio"
14,7.3,23.4,60.7,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
14,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
14,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
14,8.7,23.4,63,11,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
14,8.7,24.5,57.3,10,4.2,10.9,3.5,3.3,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
14,13.1,36.2,88.2,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
15,7.3,21.3,52.7,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
15,7.3,21.3,56.1,10,4.2,9.7,3,2.8,8.4,10.9,5.3,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
15,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
15,7.3,23.4,52.7,10,4.2,9.7,3,2.8,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
15,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
15,7.3,23.4,55,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
15,7.3,23.4,57.3,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
15,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"sadio"
15,8.7,22.4,61.8,11,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
15,8.7,23.4,56.1,10,4.2,9.7,3,2.8,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
15,8.7,24.5,58.4,11,4.2,10.9,3.5,3.3,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
15,13.1,36.2,88.2,14.9,6.2,13.3,4.5,4.7,13.9,16.1,6.4,3.7,1.9,3.9,7.2,4.7,7.2,7.7,"giberela"
16,7.3,20.3,52.7,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
16,7.3,21.3,56.1,10,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
