Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
36; 10; 36; 73; 16; 7; 13; 10; 11; 37; 44; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 15.7; 5.0; 4.7; 13.1; 17.7; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529192656
37; 11; 36; 82; 17; 7; 13; 9; 10; 39; 43; 14; 5; 2; 4; 9; 6; 9; 11; 16.0; 38.4; 87.0; 15.9; 7.3; 15.7; 5.0; 5.1; 15.5; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192656
38; 11; 36; 76; 16; 7; 13; 9; 10; 36; 43; 14; 5; 2; 4; 9; 6; 9; 11; 16.0; 37.3; 93.9; 16.9; 6.2; 15.7; 4.5; 4.7; 15.5; 17.3; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 30; 20210529192657
39; 10; 38; 77; 16; 7; 13; 9; 10; 39; 42; 14; 5; 2; 4; 9; 6; 9; 11; 14.6; 40.5; 88.2; 15.9; 7.3; 15.7; 4.5; 4.7; 15.5; 16.9; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192657
40; 11; 37; 85; 17; 7; 13; 9; 10; 33; 44; 14; 5; 2; 4; 10; 6; 9; 12; 16.0; 39.4; 98.5; 16.9; 7.3; 15.7; 4.5; 4.2; 13.1; 17.3; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192658
41; 11; 38; 86; 17; 7; 13; 9; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 12; 16.0; 40.5; 98.5; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 30; 29; 20210529192658
42; 11; 38; 86; 17; 7; 13; 9; 10; 36; 44; 14; 5; 2; 4; 10; 6; 9; 12; 16.0; 40.5; 98.5; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 30; 29; 20210529192658
43; 11; 38; 85; 17; 7; 13; 9; 9; 36; 43; 14; 5; 2; 4; 10; 6; 9; 11; 16.0; 40.5; 97.3; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 8.4; 59; 1; 29; 30; 29; 20210529192659
44; 10; 37; 77; 16; 7; 13; 9; 10; 35; 42; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 88.2; 15.9; 7.3; 15.7; 4.5; 4.7; 13.9; 16.9; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192659
45; 10; 37; 76; 16; 7; 13; 10; 10; 38; 42; 14; 5; 2; 4; 9; 6; 9; 11; 14.6; 39.4; 92.8; 15.9; 7.3; 15.7; 4.5; 4.7; 14.7; 16.9; 8.2; 4.6; 1.9; 3.9; 9.0; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192700
46; 10; 36; 80; 17; 6; 13; 9; 10; 38; 42; 14; 5; 2; 4; 9; 6; 8; 10; 14.6; 38.4; 82.5; 15.9; 6.2; 15.7; 4.5; 4.7; 15.1; 16.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 6.4; 7.0; 59; 1; 29; 30; 30; 20210529192700
47; 10; 36; 80; 17; 7; 13; 9; 10; 38; 42; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 38.4; 91.6; 16.9; 7.3; 15.7; 4.5; 4.7; 15.1; 16.9; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192701
48; 10; 36; 80; 17; 7; 13; 9; 10; 38; 42; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 38.4; 91.6; 16.9; 7.3; 15.7; 4.5; 4.7; 15.1; 16.9; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192701
49; 10; 36; 80; 17; 7; 13; 9; 10; 38; 42; 14; 5; 2; 4; 9; 6; 9; 10; 14.6; 38.4; 91.6; 16.9; 7.3; 15.7; 4.5; 4.7; 15.1; 16.9; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192702
50; 10; 36; 71; 16; 7; 13; 10; 10; 38; 44; 14; 5; 2; 3; 9; 5; 9; 10; 14.6; 38.4; 89.3; 15.9; 7.3; 15.7; 4.5; 4.7; 15.1; 16.9; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 29; 30; 30; 20210529192702
